LONGITUDE,UNITS,AVAILABILITYCOUNT,DETAILURL,LISTINGSTATUS,BUILDINGNAME,ADDRESS,LATITUDE,ISBUILDING,BATHROOMS,PROPERTYTYPE,LIVINGAREA,PRICE,BEDROOMS,DAYSONZILLOW,DATEPRICECHANGED,COUNTRY,CURRENCY,BEDS,PRICE_1,INGESTION_DATE
-86.841545,,,/APARTMENTS/NASHVILLE-TN/4506-PARK-AVE-NASHVILLE-TN-37209/CNYDGW/,FOR_RENT,,"4506 PARK AVE, NASHVILLE TN 37209, 4506 PARK AVE, NASHVILLE, TN 37209",36.15128,,1.0,APARTMENT,1400.0,2200.0,2.0,13.0,,USA,USD,,,20251019
-86.82613,,,/HOMEDETAILS/309-SYLVAN-PARK-LN-NASHVILLE-TN-37209/92386424_ZPID/,FOR_RENT,,"309 SYLVAN PARK LN, NASHVILLE, TN 37209",36.14388,,3.0,TOWNHOUSE,1300.0,2550.0,2.0,14.0,,USA,USD,,,20251019
-86.85578,,60.0,/APARTMENTS/NASHVILLE-TN/MODERA-NATIONS/CNWNTM/,FOR_RENT,MODERA NATIONS,"1701 54TH AVE N, NASHVILLE, TN",36.168823,TRUE,,,,,,,,,,1,"$1,925+",20251019
-86.8936,,,/HOMEDETAILS/6644-UPTON-LN-NASHVILLE-TN-37209/41124738_ZPID/,FOR_RENT,,"6644 UPTON LN, NASHVILLE, TN 37209",36.13964,,1.0,SINGLE_FAMILY,700.0,1800.0,1.0,16.0,,USA,USD,,,20251019
-86.842186,,,/HOMEDETAILS/4600-IDAHO-AVE-NASHVILLE-TN-37209/41125864_ZPID/,FOR_RENT,,"4600 IDAHO AVE, NASHVILLE, TN 37209",36.146866,,1.0,APARTMENT,750.0,1600.0,1.0,22.0,,USA,USD,,,20251019
-86.83549,,,/HOMEDETAILS/4030-WESTLAWN-DR-NASHVILLE-TN-37209/41126760_ZPID/,FOR_RENT,,"4030 WESTLAWN DR, NASHVILLE, TN 37209",36.139866,,2.0,SINGLE_FAMILY,925.0,2350.0,2.0,27.0,1759129200000.0,USA,USD,,,20251019
-86.83519,,5.0,/APARTMENTS/NASHVILLE-TN/THE-DOVER/CGLCQS/,FOR_RENT,THE DOVER,"525 40TH AVE N, NASHVILLE, TN",36.154713,TRUE,,,,,,,,,,2,"$1,600+",20251019
-86.92236,,,/HOMEDETAILS/610-OLD-HICKORY-BLVD-NASHVILLE-TN-37209/344601391_ZPID/,FOR_RENT,,"610 OLD HICKORY BLVD, NASHVILLE, TN 37209",36.107586,,3.0,TOWNHOUSE,1209.0,2200.0,2.0,29.0,,USA,USD,,,20251019
-86.86356,,,/HOMEDETAILS/6117-LOUISIANA-AVE-NASHVILLE-TN-37209/41112212_ZPID/,FOR_RENT,,"6117 LOUISIANA AVE, NASHVILLE, TN 37209",36.16467,,1.0,SINGLE_FAMILY,700.0,2100.0,2.0,33.0,1760511600000.0,USA,USD,,,20251019
-86.85389,,,/HOMEDETAILS/5403-CENTENNIAL-BLVD-202-NASHVILLE-TN-37209/337060083_ZPID/,FOR_RENT,,"5403 CENTENNIAL BLVD #202, NASHVILLE, TN 37209",36.164894,,1.0,APARTMENT,800.0,1899.0,1.0,33.0,1759388400000.0,USA,USD,,,20251019
-86.868286,,,/HOMEDETAILS/613-EASTBORO-DR-A-NASHVILLE-TN-37209/2090323475_ZPID/,FOR_RENT,,"613 EASTBORO DR #A, NASHVILLE, TN 37209",36.15443,,2.0,TOWNHOUSE,1000.0,1775.0,2.0,33.0,,USA,USD,,,20251019
-86.83551,,3.0,/APARTMENTS/NASHVILLE-TN/4012-DELAWARE-AVENUE/BPMSLF/,FOR_RENT,4012 DELAWARE AVENUE,"4014 DELAWARE AVE, NASHVILLE, TN",36.15573,TRUE,,,,,,,,,,2,"$1,825+",20251019
-86.883095,,,/HOMEDETAILS/6416-HENRY-FORD-DR-NASHVILLE-TN-37209/41111274_ZPID/,FOR_RENT,,"6416 HENRY FORD DR, NASHVILLE, TN 37209",36.155308,,1.0,SINGLE_FAMILY,1349.0,2400.0,2.0,48.0,,USA,USD,,,20251019
-86.85403,,,/HOMEDETAILS/5403-CENTENNIAL-BLVD-301-NASHVILLE-TN-37209/337060086_ZPID/,FOR_RENT,,"5403 CENTENNIAL BLVD #301, NASHVILLE, TN 37209",36.164963,,2.0,APARTMENT,1390.0,2600.0,2.0,54.0,1760166000000.0,USA,USD,,,20251019
-86.8411,,,/HOMEDETAILS/102-SLOAN-RD-NASHVILLE-TN-37209/41126925_ZPID/,FOR_RENT,,"102 SLOAN RD, NASHVILLE, TN 37209",36.13898,,2.0,APARTMENT,1148.0,2123.0,2.0,59.0,1760598000000.0,USA,USD,,,20251019
-86.87661,,,/HOMEDETAILS/6204-FREEDOM-DR-NASHVILLE-TN-37209/41111413_ZPID/,FOR_RENT,,"6204 FREEDOM DR, NASHVILLE, TN 37209",36.155487,,1.0,SINGLE_FAMILY,814.0,1950.0,2.0,65.0,1758697200000.0,USA,USD,,,20251019
-86.85229,,2.0,/B/1638-54TH-AVE-N-NASHVILLE-TN-BSXWXQ/,FOR_RENT,,"1638 54TH AVE N, NASHVILLE, TN",36.166943,TRUE,,,,,,,,,,1,"$2,500+",20251019
-86.824265,,,/HOMEDETAILS/930-32ND-AVE-N-A-NASHVILLE-TN-37209/2077321126_ZPID/,FOR_RENT,,"930 32ND AVE N #A, NASHVILLE, TN 37209",36.16266,,1.0,APARTMENT,1000.0,1900.0,2.0,66.0,1759734000000.0,USA,USD,,,20251019
